                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3646,                 1.4021,                 1.0512,                0.94612,                0.95531,                0.93937,                0.46223,                 1.4735,                 1.5253,                 1.0057,               0.006634,               0.006634,               0.006634
                     36,                   1.35,                 1.3429,                 1.0232,                0.94608,                0.98683,                0.97607,                0.53297,                  1.307,                 1.4546,                0.96363,               0.006535,               0.006535,               0.006535
                     37,                 1.3194,                 1.4556,                 1.0027,                0.98109,                0.99282,                  0.995,                0.57862,                 1.3069,                 1.5337,                0.96538,               0.006436,               0.006436,               0.006436
                     38,                 1.2779,                 1.3679,                 1.0351,                0.98109,                0.99282,                  0.995,                0.57862,                 1.3069,                 1.5337,                0.96538,               0.006337,               0.006337,               0.006337
                     39,                 1.3482,                 1.3104,                 1.0116,                0.94201,                0.95266,                0.93361,                 0.4798,                 1.4718,                 1.6101,                0.99709,               0.006238,               0.006238,               0.006238
                     40,                 1.3647,                 1.3932,                 1.0332,                 0.9951,                      1,                  0.995,                0.53789,                 1.3796,                 1.5928,                0.99274,               0.006139,               0.006139,               0.006139
                     41,                 1.3691,                 1.4215,                 1.0216,                0.93833,                0.95663,                0.93056,                0.46247,                  1.394,                 1.4123,                 1.0079,                0.00604,                0.00604,                0.00604
                     42,                 1.3285,                 1.3097,                 1.0661,                0.93833,                0.95663,                0.93056,                0.46247,                  1.394,                 1.4123,                 1.0079,               0.005941,               0.005941,               0.005941
                     43,                 1.3579,                 1.3236,                  1.054,                0.97797,                0.99859,                  0.995,                  0.514,                 1.4249,                  1.319,                 1.0127,               0.005842,               0.005842,               0.005842
                     44,                 1.3923,                 1.2943,                 1.0669,                0.99576,                0.99543,                  0.995,                0.53598,                 1.2951,                 1.3357,                0.98691,               0.005743,               0.005743,               0.005743
                     45,                 1.3146,                 1.3551,                 1.0262,                0.94852,                0.96154,                0.95715,                0.53005,                 1.3631,                 1.3188,                0.99351,               0.005644,               0.005644,               0.005644
                     46,                 1.3593,                 1.4092,                 1.0484,                0.94852,                0.96154,                0.95715,                0.53005,                 1.3631,                 1.3188,                0.99351,               0.005545,               0.005545,               0.005545
                     47,                  1.252,                 1.3116,                0.99847,                0.99011,                      1,                  0.995,                 0.5793,                 1.3373,                 1.2406,                0.96821,               0.005446,               0.005446,               0.005446
                     48,                 1.3311,                 1.2935,                 1.0222,                 0.9957,                      1,                  0.995,                0.55765,                 1.2771,                 1.2001,                0.97421,               0.005347,               0.005347,               0.005347
                     49,                 1.2608,                 1.1863,                0.97736,                 0.9817,                      1,                  0.995,                  0.576,                 1.1759,                  1.313,                0.93815,               0.005248,               0.005248,               0.005248
                     50,                 1.2205,                 1.1877,                  1.046,                 0.9817,                      1,                  0.995,                  0.576,                 1.1759,                  1.313,                0.93815,               0.005149,               0.005149,               0.005149
                     51,                 1.2613,                 1.2426,                   1.04,                0.98921,                      1,                  0.995,                0.54677,                  1.229,                 1.4787,                0.97507,                0.00505,                0.00505,                0.00505
                     52,                 1.3364,                 1.3693,                 1.0251,                0.98554,                      1,                  0.995,                0.52258,                 1.3144,                 1.2633,                0.97287,               0.004951,               0.004951,               0.004951
                     53,                 1.3138,                 1.2507,                 1.0189,                0.98784,                      1,                  0.995,                0.52313,                 1.2862,                 1.1378,                0.97789,               0.004852,               0.004852,               0.004852
                     54,                 1.2444,                 1.2422,                0.99006,                0.98784,                      1,                  0.995,                0.52313,                 1.2862,                 1.1378,                0.97789,               0.004753,               0.004753,               0.004753
                     55,                 1.3036,                 1.2155,                 1.0529,                0.97943,                      1,                  0.995,                0.51686,                 1.2604,                 1.1288,                0.98559,               0.004654,               0.004654,               0.004654
                     56,                 1.2046,                 1.1641,                 1.0054,                0.98513,                      1,                  0.995,                0.55725,                 1.2734,                 1.0418,                0.98221,               0.004555,               0.004555,               0.004555
                     57,                 1.3728,                 1.2698,                 1.0688,                  0.988,                      1,                  0.995,                0.54945,                 1.2256,                 1.0822,                0.96363,               0.004456,               0.004456,               0.004456
                     58,                 1.2071,                 1.2011,                 0.9949,                  0.988,                      1,                  0.995,                0.54945,                 1.2256,                 1.0822,                0.96363,               0.004357,               0.004357,               0.004357
                     59,                 1.2461,                 1.1833,                 1.0414,                0.98017,                      1,                  0.995,                 0.5746,                 1.2266,                 1.1357,                0.97901,               0.004258,               0.004258,               0.004258
